regulatorCode,stableRegulatorId,authorityId,authority,authorityWebsite,iso2,roles,mappingStatus,mappingBasis
FMAAT,ra-reg-fmaat,ra-auth-at-0c2dcb3373507cc1,Austrian Financial Market Authority,http://www.fma.gv.at/,AT,prudential_supervision;securities;insurance;pensions,official-directory-match,Deterministic normalized-name match to official directory.
CNBCZ,ra-reg-cnbcz,ra-auth-cz-c9c68c4d2da33262,Czech National Bank,http://www.cnb.cz/en/index.html,CZ,prudential_supervision;securities;insurance;pensions,official-directory-match,Explicit live-code authority alias matched official directory.
CMVM,ra-reg-cmvm,ra-auth-pt-9416ad68ffc0ead8,Comissão do Mercado de Valores Mobiliários,http://www.cmvm.pt/,PT,securities,official-directory-match,Explicit live-code authority alias matched official directory.
CYSEC,ra-reg-cysec,ra-auth-cy-763f7fdf3a372e1b,Cyprus Securities and Exchange Commission,http://www.cysec.gov.cy/,CY,securities,official-directory-match,Explicit live-code authority alias matched official directory.
FISE,ra-reg-fise,ra-auth-se-0ad84971070398be,Finansinspektionen,http://www.fi.se/,SE,prudential_supervision;securities;financial_intelligence,official-directory-match,Explicit live-code authority alias matched official directory.
FTDK,ra-reg-ftdk,ra-auth-dk-74ed5e7e0e14a760,Danish Financial Supervisory Authority,http://www.finanstilsynet.dk/en.aspx,DK,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
FINFSA,ra-reg-finfsa,ra-auth-fi-e59f9db9ae9280fc,Financial Supervisory Authority,http://www.fin-fsa.fi/en,FI,prudential_supervision,official-directory-match,Explicit live-code authority alias matched official directory.
FTNO,ra-reg-ftno,ra-auth-no-80719903f3ffe2e0,Finanstilsynet (The Financial Supervisory Authority of Norway),http://www.finanstilsynet.no/,NO,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
MFSA,ra-reg-mfsa,ra-auth-mt-0d68677a8237087f,Malta Financial Services Authority,http://www.mfsa.com.mt/,MT,prudential_supervision;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
IVASS,ra-reg-ivass,ra-auth-it-d255f9df495ac260,Istituto per la Vigilanza sulle Assicurazioni (IVASS),https://www.ivass.it/,IT,insurance,official-directory-match,Explicit live-code authority alias matched official directory.
FINRA,ra-reg-finra,,,,US,,registry-only,No sufficiently specific official-directory name match; excluded from country role aggregation pending manual authority mapping.
SC,ra-reg-sc,ra-auth-my-9c2184698cd1832e,Securities Commission*,http://www.sc.com.my/,MY,securities,official-directory-match,Explicit live-code authority alias matched official directory.
CIMA,ra-reg-cima,ra-auth-ky-4cae34554efc1a6b,Cayman Islands Monetary Authority,http://www.cimoney.com.ky/,KY,prudential_supervision,official-directory-match,Explicit live-code authority alias matched official directory.
