iso2,country,authority,roles,website,access_state,http_status,final_url,title,candidate_link_count,candidate_urls,error
BZ,Belize,Financial Intelligence Unit Belize (FIU-Belize),financial_intelligence,http://www.fiubelize.org/,reachable,200,https://fiubelize.org/,,9,https://fiubelize.org/compliance-notice/;https://scsanctions.un.org/consolidated/;https://fiubelize.org/consolidated-belize-sanctions-list/;https://press.un.org/en/2025/sc16088.doc.htm;https://fiubelize.org/wp-content/uploads/2024/01/Public-Notice-for-NGO_NPO.pdf;https://fiubelize.org/wp-content/uploads/2023/06/GUIDANCE-TO-THE-PUBLIC-ON-TARGETED-FINANCIAL-SANCTIONS-IN-BELIZE.pdf;https://fiubelize.org/legislations/money-laundering-and-terrorism-prevention-act-consolidated-version-as-amended-december-2023/;https://fiubelize.org/legislations/money-laundering-and-terrorism-prevention-act-consolidation-document-as-amended-21-july-2023/;https://fiubelize.org/forms-and-applications/compliancereportingform-html/,
BZ,Belize,Financial Services Commission,securities,https://www.belizefsc.org.bz/,reachable,200,https://www.belizefsc.org.bz/,Financial Services Commission | Regulating Belize Financial Sector,13,https://www.belizefsc.org.bz/enforcement/;https://www.belizefsc.org.bz/enforcement-activities/;https://www.belizefsc.org.bz/disciplinary-proceedings/;https://www.belizefsc.org.bz/warning-notice/;https://www.belizefsc.org.bz/suspension-revocation-notice/;https://www.belizefsc.org.bz/public-notice/;https://www.belizefsc.org.bz/non-renewal/;https://www.belizefsc.org.bz/gazette-notice/;https://www.belizefsc.org.bz/warning-notice-misrepresentation-brand-impersonation/;https://www.belizefsc.org.bz/warning-notice-travis-smith/;https://www.belizefsc.org.bz/warning-notice-belize-global-trust-bank/;https://www.belizefsc.org.bz/public-notice-submission-of-statements-regarding-nominee-relationships-pursuant-to-the-financial-services-commission-nominee-shareholders-and-directors-regulations-2025/;https://www.belizefsc.org.bz/cbb-fiu-fsc-sign-governance-agreements-for-use-of-the-sanctions-registry-system/,
BZ,Belize,Office of the Supervisor of Insurance and Private Pensions,insurance,http://www.osipp.gov.bz/,timeout,,http://www.osipp.gov.bz/,,0,,The operation was aborted due to timeout
BJ,Benin,Autorité des Marchés Financiers de l’UMOA,securities,http://www.crepmf.org/,timeout,,http://www.crepmf.org/,,0,,The operation was aborted due to timeout
BJ,Benin,Cellule Nationale de Traitement des Informations Financieres du Benin (CENTIF),financial_intelligence,http://www.fiub.org/,reachable,200,http://www.fiub.org/,fiub.org,0,,
BJ,Benin,Central Bank of West African States (BCEAO),central_banking;prudential_supervision,https://www.bceao.int/en,reachable,200,https://www.bceao.int/en,BCEAO | Banque Centrale des Etats de l’Afrique de l’Ouest,1,https://www.bceao.int/en,
BJ,Benin,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,http://cima-afrique.org/,reachable,200,https://cima-afrique.org/,CIMA – Conférence Interafricaine des Marchés d’Assurance,2,https://cima-afrique.org/decisions-du-cma/;https://cima-afrique.org/decisions-de-la-crca/,
BM,Bermuda,Bermuda Monetary Authority,central_banking;prudential_supervision;securities;insurance,http://www.bma.bm/,timeout,,http://www.bma.bm/,,0,,The operation was aborted due to timeout
BM,Bermuda,Financial Intelligence Agency Bermuda (FIA),financial_intelligence,https://www.fia.bm/,reachable,200,https://www.fia.bm/,Financial Intellegence Agency - FIA - Bermuda,1,https://public.govdelivery.com/accounts/BERMFSIU/signup/46844?FIA,
BT,Bhutan,Royal Monetary Authority of Bhutan,central_banking;prudential_supervision;financial_intelligence,http://www.rma.org.bt/,timeout,,http://www.rma.org.bt/,,0,,The operation was aborted due to timeout
BO,Bolivia,Autoridad de Supervisión del Sistema Financiero,prudential_supervision;securities,https://www.asfi.gob.bo/,reachable,200,https://www.asfi.gob.bo/,¡Bienvenidos! | ASFI,0,,
BO,Bolivia,Central Bank of Bolivia,central_banking;prudential_supervision,https://www.bcb.gob.bo/,reachable,200,https://www.bcb.gob.bo/,Banco Central de Bolivia,1,https://www.bcb.gob.bo/?q=content/resoluciones-de-directorio-1,
BO,Bolivia,Unidad de Investigaciones Financieras (UIF),financial_intelligence,http://www.uif.gob.bo/,timeout,,http://www.uif.gob.bo/,,0,,The operation was aborted due to timeout
